x,y
116.186008,40.096936
116.185615,40.096668
116.185549,40.096624
116.184715,40.096146
116.184536,40.096016
116.184337,40.095847
116.183918,40.0954
116.18381,40.095285
116.183738,40.095222
116.183659,40.095172
116.183573,40.095136
116.183473,40.095111
116.18336,40.095093
116.18259,40.095018
116.181309,40.094816
116.181261,40.094811
116.181221,40.094817
116.181198,40.094826
116.181168,40.094842
116.181149,40.094863
116.181134,40.094884
116.181075,40.095038
116.181053,40.09508
116.181027,40.095105
116.180981,40.095123
116.180933,40.095135
116.180871,40.095144
116.180789,40.095142
116.180732,40.095134
116.180649,40.095112
116.18054,40.095091
